,Desa/Kelurahan,Desa/Kelurahan Terluar,Kabupaten/Kota,Kecamatan,Ketinggian DPL (M),Koordinat Bujur,Koordinat Lintang,Lokasi,Luas (Ha),Provinsi,Status,Tipologi,_id
968,KAMPAR SEBOMBAN,,KABUPATEN KETAPANG,SIMPANG DUA,"0,00","110,390211","-0,713096",DESA KAMPAR SEBOMBAN KECAMATAN SIMPANG DUA KABUPATEN KETAPANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Kehutanan,969
969,BATU DAYA,Tidak,KABUPATEN KETAPANG,SIMPANG DUA,"499,00","0,000000","0,000000",DESA BATU DAYA KECAMATAN SIMPANG DUA KABUPATEN KETAPANG PROVINSI KALIMANTAN BARAT,"156.000,00",KALIMANTAN BARAT,DESA,Persawahan,970
970,KAMORA,,KABUPATEN KETAPANG,SIMPANG DUA,"0,00","0,000000","0,000000",DESA KAMORA KECAMATAN SIMPANG DUA KABUPATEN KETAPANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,971
971,BARAS NABUN,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","112,474277","-0,544523",DESA BARAS NABUN KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"12.426,00",KALIMANTAN BARAT,DESA,Peternakan,972
972,NANGA JELUNDUNG,Tidak,KABUPATEN SINTANG,SERAWAI,"14,00","112,540943","-0,586475",DESA NANGA JELUNDUNG KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"51.000,00",KALIMANTAN BARAT,DESA,Persawahan,973
973,NANGA RIYOI,Tidak,KABUPATEN SINTANG,SERAWAI,"120,00","112,696508","-0,402156",DESA NANGA RIYOI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"3.808,00",KALIMANTAN BARAT,DESA,Kehutanan,974
974,BUNTUT PONTE,Tidak,KABUPATEN SINTANG,SERAWAI,"230,00","112,571335","-0,392731",DESA BUNTUT PONTE KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"41,00",KALIMANTAN BARAT,DESA,Kehutanan,975
975,NANGA SEGULANG,Tidak,KABUPATEN SINTANG,SERAWAI,"14,00","112,529335","-0,440637",DESA NANGA SEGULANG KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"10.258,00",KALIMANTAN BARAT,DESA,Peternakan,976
976,NANGA MENTATAI,Tidak,KABUPATEN SINTANG,SERAWAI,"3,93","112,429085","-0,428027",DESA NANGA MENTATAI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"8.215,00",KALIMANTAN BARAT,DESA,Peternakan,977
977,NANGA SERAWAI,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","112,391256","-0,264685",DESA NANGA SERAWAI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"24.174,00",KALIMANTAN BARAT,DESA,Perladangan,978
978,BEDAHA,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA BEDAHA KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"44.000,00",KALIMANTAN BARAT,DESA,Peternakan,979
979,BEGORI,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","112,479709","-0,245082",DESA BEGORI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"4.861,00",KALIMANTAN BARAT,DESA,Perladangan,980
980,PAGAR LEBATA,Tidak,KABUPATEN SINTANG,SERAWAI,"240,00","112,545872","-0,285425",DESA PAGAR LEBATA KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"37,00",KALIMANTAN BARAT,DESA,Persawahan,981
981,TONTANG,,KABUPATEN SINTANG,SERAWAI,"0,00","112,594228","-0,283248",DESA TONTANG KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,982
982,KARYA JAYA,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","112,641338","-0,204468",DESA KARYA JAYA KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"4.500,00",KALIMANTAN BARAT,DESA,Peternakan,983
983,TANJUNG RAYA,Tidak,KABUPATEN SINTANG,SERAWAI,"1.200,00","112,452728","-0,358959",DESA TANJUNG RAYA KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"34.538,00",KALIMANTAN BARAT,DESA,Peternakan,984
984,TAHAI PERMAI,Tidak,KABUPATEN SINTANG,SERAWAI,"100,00","112,512527","-0,125645",DESA TAHAI PERMAI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"64,00",KALIMANTAN BARAT,DESA,Perladangan,985
985,MERAKO JAYA,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","112,738380","-0,537433",DESA MERAKO JAYA KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"5.571,00",KALIMANTAN BARAT,DESA,Peternakan,986
986,SAWANG SENGHIANG,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA SAWANG SENGHIANG KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"18.000,00",KALIMANTAN BARAT,DESA,Persawahan,987
987,TUNAS HARAPAN,Tidak,KABUPATEN SINTANG,SERAWAI,"14,00","0,000000","0,000000",DESA TUNAS HARAPAN KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"45.000,00",KALIMANTAN BARAT,DESA,Kehutanan,988
988,TELUK HARAPAN,Tidak,KABUPATEN SINTANG,SERAWAI,"230,00","0,000000","0,000000",DESA TELUK HARAPAN KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"46,00",KALIMANTAN BARAT,DESA,Perladangan,989
989,GURUNG SENGHIANG,Tidak,KABUPATEN SINTANG,SERAWAI,"14,00","0,000000","0,000000",DESA GURUNG SENGHIANG KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"10.700,00",KALIMANTAN BARAT,DESA,Persawahan,990
990,TANJUNG HARAPAN,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA TANJUNG HARAPAN KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,991
991,RANTAU MALAM,Tidak,KABUPATEN SINTANG,SERAWAI,"14,00","0,000000","0,000000",DESA RANTAU MALAM KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"32.670,00",KALIMANTAN BARAT,DESA,Kehutanan,992
992,MENTAJOI,Tidak,KABUPATEN SINTANG,SERAWAI,"99,00","112,600347","-0,396070",DESA MENTAJOI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"9.939,00",KALIMANTAN BARAT,DESA,Persawahan,993
993,NANGA BIHE,Tidak,KABUPATEN SINTANG,SERAWAI,"15.000,00","0,000000","0,000000",DESA NANGA BIHE KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"6.998,00",KALIMANTAN BARAT,DESA,Kehutanan,994
994,NANGA TEKUNGAI,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA NANGA TEKUNGAI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"3.914,00",KALIMANTAN BARAT,DESA,Perladangan,995
995,TALIAN SAHABUNG,Tidak,KABUPATEN SINTANG,SERAWAI,"1.000,00","0,000000","0,000000",DESA TALIAN SAHABUNG KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"304,00",KALIMANTAN BARAT,DESA,Persawahan,996
996,BATU KETEBUNG,Tidak,KABUPATEN SINTANG,SERAWAI,"1.200,00","0,000000","0,000000",DESA BATU KETEBUNG KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"2.180,00",KALIMANTAN BARAT,DESA,Persawahan,997
997,MUARA KOTA,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA MUARA KOTA KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"22.000,00",KALIMANTAN BARAT,DESA,Persawahan,998
998,MEKAR SARI,Tidak,KABUPATEN SINTANG,SERAWAI,"120,00","112,000000","0,200000",DESA MEKAR SARI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"681,00",KALIMANTAN BARAT,DESA,Persawahan,999
999,TANJUNG BARU,Tidak,KABUPATEN SINTANG,SERAWAI,"550,00","112,252200","0,198000",DESA TANJUNG BARU KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"2.500,00",KALIMANTAN BARAT,DESA,Persawahan,1000
1000,NUSA TUJUH,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA NUSA TUJUH KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"1.146,00",KALIMANTAN BARAT,DESA,Persawahan,1001
1001,NANGA RUHAN,Tidak,KABUPATEN SINTANG,SERAWAI,"102,00","112,375967","-3,951220",DESA NANGA RUHAN KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"29.565,00",KALIMANTAN BARAT,DESA,Persawahan,1002
1002,MEROBOI,Tidak,KABUPATEN SINTANG,SERAWAI,"167,00","112,485368","-0,485368",DESA MEROBOI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"12.702,00",KALIMANTAN BARAT,DESA,Persawahan,1003
1003,PANEKASAN,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA PANEKASAN KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"52.000,00",KALIMANTAN BARAT,DESA,Persawahan,1004
1004,TAMAKUNG,Tidak,KABUPATEN SINTANG,SERAWAI,"14,00","0,000000","0,000000",DESA TAMAKUNG KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"9.400,00",KALIMANTAN BARAT,DESA,Persawahan,1005
1005,LIMBUR BERNAUNG LESTARI,Tidak,KABUPATEN SINTANG,SERAWAI,"175,00","0,190000","0,000000",DESA LIMBUR BERNAUNG LESTARI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"4.000,00",KALIMANTAN BARAT,DESA,Persawahan,1006
1006,MENSULUNG BIO,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA MENSULUNG BIO KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"41.000,00",KALIMANTAN BARAT,DESA,Persawahan,1007
1007,SABHANG LANDAN,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA SABHANG LANDAN KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1008
1008,NANGA TANGOI,Tidak,KABUPATEN SINTANG,SERAWAI,"0,00","0,000000","0,000000",DESA NANGA TANGOI KECAMATAN SERAWAI KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"4.664,00",KALIMANTAN BARAT,DESA,Persawahan,1009
1009,BUNTUT SABON,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","113,034557","-0,382066",DESA BUNTUT SABON KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"216,88",KALIMANTAN BARAT,DESA,Persawahan,1010
1010,NANGA MENAKON,Tidak,KABUPATEN SINTANG,AMBALAU,"200,00","113,065937","-0,163097",DESA NANGA MENAKON KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"3.391,00",KALIMANTAN BARAT,DESA,Persawahan,1011
1011,NANGA KESANGE,,KABUPATEN SINTANG,AMBALAU,"0,00","112,871593","-0,192418",DESA NANGA KESANGE KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1012
1012,NANGA KEMANGAI,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","112,675560","-0,167593",DESA NANGA KEMANGAI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"40.907,00",KALIMANTAN BARAT,DESA,Persawahan,1013
1013,NANGA AMBALAU,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","112,713314","-0,109013",DESA NANGA AMBALAU KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"941,00",KALIMANTAN BARAT,DESA,Persawahan,1014
1014,NANGA SAKE,Tidak,KABUPATEN SINTANG,AMBALAU,"7.000,00","112,752239","-0,034750",DESA NANGA SAKE KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"2.690,00",KALIMANTAN BARAT,DESA,Persawahan,1015
1015,TANJUNG ANDAN,Tidak,KABUPATEN SINTANG,AMBALAU,"80,00","112,547348","0,066889",DESA TANJUNG ANDAN KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"30.102,00",KALIMANTAN BARAT,DESA,Persawahan,1016
1016,BUNTUT PIMPIN,Tidak,KABUPATEN SINTANG,AMBALAU,"14,00","112,786777","0,103441",DESA BUNTUT PIMPIN KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"24.806,00",KALIMANTAN BARAT,DESA,Persawahan,1017
1017,KEPALA JUNGAI,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","113,169723","0,029820",DESA KEPALA JUNGAI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"64.527,00",KALIMANTAN BARAT,DESA,Persawahan,1018
1018,NANGA KEREMOI,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA NANGA KEREMOI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1019
1019,NANGA MENANTAK,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA NANGA MENANTAK KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1020
1020,BUNTUT PURUN,,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA BUNTUT PURUN KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1021
1021,NANGA SAKAI,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA NANGA SAKAI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"45.300,00",KALIMANTAN BARAT,DESA,Persawahan,1022
1022,LUNJAN TINGANG,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA LUNJAN TINGANG KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"25.895,00",KALIMANTAN BARAT,DESA,Persawahan,1023
1023,JENGKARANG,Tidak,KABUPATEN SINTANG,AMBALAU,"14,00","0,217353","0,000000",DESA JENGKARANG KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"45.700,00",KALIMANTAN BARAT,DESA,Persawahan,1024
1024,BUKAI TUKUN,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA BUKAI TUKUN KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1025
1025,NUSA PORING,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA NUSA PORING KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"4.189,00",KALIMANTAN BARAT,DESA,Persawahan,1026
1026,PURUT BERIBIT,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA PURUT BERIBIT KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1027
1027,BUKIT TINGGI,Tidak,KABUPATEN SINTANG,AMBALAU,"79,00","0,000000","0,000000",DESA BUKIT TINGGI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"540,06",KALIMANTAN BARAT,DESA,Persawahan,1028
1028,PULOU SABHANG,,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA PULOU SABHANG KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1029
1029,PATIH JEPARA,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA PATIH JEPARA KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"4.401,00",KALIMANTAN BARAT,DESA,Persawahan,1030
1030,KORONG DASO,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA KORONG DASO KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"860,00",KALIMANTAN BARAT,DESA,Persawahan,1031
1031,LUTING MINGAN,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA LUTING MINGAN KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1032
1032,KOLANGAN JUOI,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA KOLANGAN JUOI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"31.957,00",KALIMANTAN BARAT,DESA,Persawahan,1033
1033,NANGA MENTOMOI,Tidak,KABUPATEN SINTANG,AMBALAU,"20.000,00","12,000000","10,000000",DESA NANGA MENTOMOI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"15.165,00",KALIMANTAN BARAT,DESA,Persawahan,1034
1034,SUNGAI TAMBUN,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA SUNGAI TAMBUN KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1035
1035,RIAM SABON,Tidak,KABUPATEN SINTANG,AMBALAU,"1,07","11,256846","0,018250",DESA RIAM SABON KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"2.488,00",KALIMANTAN BARAT,DESA,Persawahan,1036
1036,NANGA UKAI,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA NANGA UKAI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1037
1037,MENSUANG,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA MENSUANG KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"3.047,00",KALIMANTAN BARAT,DESA,Persawahan,1038
1038,DAHTAH BUNGAI,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA DAHTAH BUNGAI KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"7.790,00",KALIMANTAN BARAT,DESA,Persawahan,1039
1039,NANGA RADE,Tidak,KABUPATEN SINTANG,AMBALAU,"8,00","0,000000","0,000000",DESA NANGA RADE KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1040
1040,DEME,Tidak,KABUPATEN SINTANG,AMBALAU,"0,00","0,000000","0,000000",DESA DEME KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"109.659,00",KALIMANTAN BARAT,DESA,Persawahan,1041
1041,NANGA PAHANGAN,Tidak,KABUPATEN SINTANG,AMBALAU,"14,00","0,000000","0,000000",DESA NANGA PAHANGAN KECAMATAN AMBALAU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"22.000,00",KALIMANTAN BARAT,DESA,Persawahan,1042
1042,NANGA PAYAK,Tidak,KABUPATEN SINTANG,KAYAN HULU,"14,00","112,088061","-0,157685",DESA NANGA PAYAK KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"1.500,00",KALIMANTAN BARAT,DESA,Perladangan,1043
1043,TANJUNG BUNGA,,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,100319","-0,176352",DESA TANJUNG BUNGA KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Perladangan,1044
1044,NANGA TEBIDAH,,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,158623","-0,148662",DESA NANGA TEBIDAH KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Perladangan,1045
1045,ENTOGONG,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,180059","-0,205231",DESA ENTOGONG KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"17.500,00",KALIMANTAN BARAT,DESA,Perladangan,1046
1046,NANGA TONGGOI,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,237755","-0,225515",DESA NANGA TONGGOI KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"11.700,00",KALIMANTAN BARAT,DESA,Perladangan,1047
1047,TANJUNG LALAU,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,251453","-0,159385",DESA TANJUNG LALAU KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"103.200,00",KALIMANTAN BARAT,DESA,Perladangan,1048
1048,LINTAK TAMBUK,,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,340179","-0,154545",DESA LINTAK TAMBUK KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Perladangan,1049
1049,NANGA MASAU,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,426479","-0,107214",DESA NANGA MASAU KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Persawahan,1050
1050,NANGA ABAI,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,296993","-0,037122",DESA NANGA ABAI KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"27,00",KALIMANTAN BARAT,DESA,Perladangan,1051
1051,NANGA UNGAI,Tidak,KABUPATEN SINTANG,KAYAN HULU,"40,00","112,100100","-0,102200",DESA NANGA UNGAI KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"6.240,00",KALIMANTAN BARAT,DESA,Perladangan,1052
1052,NANGA TORAN,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,152313","-0,028840",DESA NANGA TORAN KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"3.200,00",KALIMANTAN BARAT,DESA,Perladangan,1053
1053,RIAM PANJANG,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,214983","0,059499",DESA RIAM PANJANG KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"5.403,00",KALIMANTAN BARAT,DESA,Persawahan,1054
1054,NANGA LAAR,Tidak,KABUPATEN SINTANG,KAYAN HULU,"14,00","112,323505","0,033474",DESA NANGA LAAR KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"26.033,00",KALIMANTAN BARAT,DESA,Perladangan,1055
1055,RIAM MUNTIK,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,414123","0,031895",DESA RIAM MUNTIK KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"416,00",KALIMANTAN BARAT,DESA,Persawahan,1056
1056,MERAHAU PERMAI,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","0,000000","0,000000",DESA MERAHAU PERMAI KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"4.139,00",KALIMANTAN BARAT,DESA,Persawahan,1057
1057,EMPOYANG,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","0,000000","0,000000",DESA EMPOYANG KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"29.000,00",KALIMANTAN BARAT,DESA,Perladangan,1058
1058,LANDAU BARA,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","112,087640","-0,142550",DESA LANDAU BARA KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"220,00",KALIMANTAN BARAT,DESA,Perindustrian/Jasa,1059
1059,TOPAN NANGA,Tidak,KABUPATEN SINTANG,KAYAN HULU,"103,00","112,108460","-0,152390",DESA TOPAN NANGA KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"1.550,00",KALIMANTAN BARAT,DESA,Perladangan,1060
1060,MAPAN JAYA,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","0,000000","0,000000",DESA MAPAN JAYA KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"14,50",KALIMANTAN BARAT,DESA,Perladangan,1061
1061,TONAK GONEH,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","0,000000","0,000000",DESA TONAK GONEH KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"12.000,00",KALIMANTAN BARAT,DESA,Persawahan,1062
1062,EMPAKAN,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","0,000000","0,000000",DESA EMPAKAN KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"2.150,00",KALIMANTAN BARAT,DESA,Perladangan,1063
1063,TANAH MERAH,,KABUPATEN SINTANG,KAYAN HULU,"0,00","0,000000","0,000000",DESA TANAH MERAH KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Perladangan,1064
1064,MERAH ARAI,Tidak,KABUPATEN SINTANG,KAYAN HULU,"0,00","0,000000","0,000000",DESA MERAH ARAI KECAMATAN KAYAN HULU KABUPATEN SINTANG PROVINSI KALIMANTAN BARAT,"15.517,93",KALIMANTAN BARAT,DESA,Persawahan,1065
